feature,median,mean,variance
Access to electricity (% of population) [EG.ELC.ACCS.ZS],99.573703765,82.7267416830909,701.5236908292679
Adjusted net national income per capita (current US$) [NY.ADJ.NNTY.PC.CD],4243.530728,10716.125042308178,196802937.12201956
Age dependency ratio (% of working-age population) [SP.POP.DPND],54.2943717,59.18584315399999,329.0102812659079
"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total) [SH.DTH.COMM.ZS]",12.85,22.439999999999998,421.8460917431193
Current health expenditure per capita (current US$) [SH.XPD.CHEX.PC.CD],305.05696105000004,1018.2917704580908,2678352.9697434143
"Fertility rate, total (births per woman) [SP.DYN.TFRT.IN]",2.3215000000000003,2.7867181818181823,1.7696912134278568
Fixed broadband subscriptions (per 100 people) [IT.NET.BBND.P2],8.0099415845,12.342714882645456,171.14712688727113
Fixed telephone subscriptions (per 100 people) [IT.MLT.MAIN.P2],11.269833805000001,15.605437980663636,240.27131623564733
GDP per capita (constant 2010 US$) [NY.GDP.PCAP.KD],6457.887102500001,14424.743564069093,372072158.8521865
"GNI per capita, Atlas method (current US$) [NY.GNP.PCAP.CD]",5810.0,13521.454545454546,305617469.42452043
Individuals using the Internet (% of population) [IT.NET.USER.ZS],54.0,50.402325537190904,792.8742843019437
Lifetime risk of maternal death (%) [SH.MMR.RISK.ZS],0.12672568499999998,0.7557151008000002,1.7265247069685214
People using at least basic drinking water services (% of population) [SH.H2O.BASW.ZS],95.620811855,86.87706017181819,284.30107876584026
"People using at least basic drinking water services, rural (% of rural population) [SH.H2O.BASW.RU.ZS]",88.10736003,79.3533583131818,489.3597951053555
"People using at least basic drinking water services, urban (% of urban population) [SH.H2O.BASW.UR.ZS]",98.396296645,94.49482138909092,63.10167247592838
"People using at least basic sanitation services, urban (% of urban population) [SH.STA.BASS.UR.ZS]",92.07851501,79.39988126700003,609.397417914801
Prevalence of anemia among children (% of children under 5) [SH.ANM.CHLD.ZS],30.200000000000003,35.99363636363636,357.2022527105922
Secure Internet servers (per 1 million people) [IT.NET.SECR.P6],139.8032791,2349.250071873,33897264.95874604
"Self-employed, female (% of female employment) (modeled ILO estimate) [SL.EMP.SELF.FE.ZS]",34.95199966,41.67782721954546,989.8769108693356
"Wage and salaried workers, female (% of female employment) (modeled ILO estimate) [SL.EMP.WORK.FE.ZS]",65.04799652,58.32217250036363,989.8769126997676
